關鍵字,網頁標題,網頁連結,抓取日期
馬英九,少康戰情室20201010,https://www.google.com/url?rct=j&sa=t&url=https://www.youtube.com/watch%3Fv%3DRmu9hAUgZ-I&ct=ga&cd=CAAYADIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNH6G1EuITFiBeK3rLA4-oOJkrOM2A,2020-10-12
柯文哲,失言得罪東部? 柯文哲: 因疫情國人被迫去花東旅遊,https://www.google.com/url?rct=j&sa=t&url=https://newtalk.tw/news/view/2020-10-11/477694&ct=ga&cd=CAAYADIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNGMgYenKooJocyGkDDeV9BHIyMLpA,2020-10-12
柯文哲,柯文哲走讀大稻埕（1） (圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E8%25B5%25B0%25E8%25AE%2580%25E5%25A4%25A7%25E7%25A8%25BB%25E5%259F%2595-1-%25E5%259C%2596-085212588.html&ct=ga&cd=CAAYATIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNENkXKth5H4KgfTxEca7HhMpOWD_Q,2020-10-12
柯文哲,新文化運動月柯文哲：文協成立百年紀念倒數,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%2596%25B0%25E6%2596%2587%25E5%258C%2596%25E9%2581%258B%25E5%258B%2595%25E6%259C%2588-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2-%25E6%2596%2587%25E5%258D%2594%25E6%2588%2590%25E7%25AB%258B%25E7%2599%25BE%25E5%25B9%25B4%25E7%25B4%2580%25E5%25BF%25B5%25E5%2580%2592%25E6%2595%25B8-085121256.html&ct=ga&cd=CAAYAjIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNG__9VtiPBMdue8zXaZsqtkpsrVww,2020-10-12
柯文哲,柯文哲走讀大稻埕（2） (圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E8%25B5%25B0%25E8%25AE%2580%25E5%25A4%25A7%25E7%25A8%25BB%25E5%259F%2595-2-%25E5%259C%2596-090412365.html&ct=ga&cd=CAAYAzIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNE9yzKbHabdPGLuJNnQp6Y3U9d4xg,2020-10-12
柯文哲,國慶日韓國瑜網路聲量名列前茅柯文哲強佔4%支持,https://www.google.com/url?rct=j&sa=t&url=https://newtalk.tw/news/view/2020-10-11/477687&ct=ga&cd=CAAYBDIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNFRqzhcaQRnE2--j1Sr4I3ojyGqYw,2020-10-12
柯文哲,柯文哲指因疫情民眾「被迫」到東部玩台東縣府：說的沒錯,https://www.google.com/url?rct=j&sa=t&url=https://udn.com/news/story/7328/4927509&ct=ga&cd=CAAYBTIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNEBfrRvGw9GfI6fFZkZiHmR02Mrjw,2020-10-12
柯文哲,柯文哲參拜霞海城隍廟(圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E5%258F%2583%25E6%258B%259C%25E9%259C%259E%25E6%25B5%25B7%25E5%259F%258E%25E9%259A%258D%25E5%25BB%259F-%25E5%259C%2596-094513588.html&ct=ga&cd=CAAYBjIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNFUCdn33PNHGs1lT8V9cLUEpwU_YA,2020-10-12
柯文哲,「疫情2年內不會結束」 柯文哲推台北深度旅遊搶觀光財,https://www.google.com/url?rct=j&sa=t&url=https://money.udn.com/money/story/5648/4927071&ct=ga&cd=CAAYBzIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNEzuCnhBWxQcniYSReL_SqMuCQfhw,2020-10-12
柯文哲,新文化運動月開幕柯文哲走讀大稻埕(圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%2596%25B0%25E6%2596%2587%25E5%258C%2596%25E9%2581%258B%25E5%258B%2595%25E6%259C%2588%25E9%2596%258B%25E5%25B9%2595-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E8%25B5%25B0%25E8%25AE%2580%25E5%25A4%25A7%25E7%25A8%25BB%25E5%259F%2595-%25E5%259C%2596-090412321.html&ct=ga&cd=CAAYCDIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNFr31zOlAKlodE4czv0xgbGFGj0uw,2020-10-12
柯文哲,新文化運動月開幕柯文哲出席(圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E6%2596%25B0%25E6%2596%2587%25E5%258C%2596%25E9%2581%258B%25E5%258B%2595%25E6%259C%2588%25E9%2596%258B%25E5%25B9%2595-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E5%2587%25BA%25E5%25B8%25AD-%25E5%259C%2596-094312055.html&ct=ga&cd=CAAYCTIdMDllNTVmNGFjNmYwY2E5ODpjb206emgtVFc6VVM&usg=AFQjCNG4PEA_rrcTlqhUeZGxuVFI9UrNkQ,2020-10-12
